0,1,2,3,target
-10.4001420146,-85.7009521582,-54.8153788376,-23.8238959077,0.56
-10.3818229283,-85.7378030663,-54.7369618334,-23.8046262599,0.551
-10.3966541512,-85.7104536283,-54.7643958499,-23.7405009766,0.55
-10.4833267909,-85.5832137264,-54.5526902146,-22.5317251901,0.549
-10.3839156463,-85.7321021842,-54.767551626,-23.8546632186,0.548
-10.3931662877,-85.7199550985,-54.7134128621,-23.6571060455,0.54
-10.3896784243,-85.7294565686,-54.6624298744,-23.5737111144,0.54
586.992456453,-4.18596862334,-19.4848884145,21.439110058,0.58
586.914168244,-4.11648692861,-18.8632169528,23.2259815157,0.568
587.010501412,-4.16523808272,-19.8084885673,20.9004817298,0.567
586.847479718,-4.0426465257,-18.3826535516,24.7316343173,0.543
586.930705054,-4.21774473464,-18.3446224482,23.7362921161,0.55
-300.082910184,-124.385476954,-73.7942886808,-37.2849814655,0.562
-82.4663199402,391.626710325,82.437324762,-38.9359346204,0.592
-40.587018999,118.038667368,-4.54133949849,-30.2927296862,0.587
-40.5939947258,118.057670308,-4.64330547399,-30.4595195484,0.58
-40.5905068624,118.048168838,-4.59232248624,-30.3761246173,0.576
-465.684951748,74.6808175513,-70.2851179205,43.837370204,0.53
-465.867682958,74.6986357056,-68.1257295176,48.5060835759,0.543
-465.753761154,74.7156398042,-69.6099239101,45.4984414797,0.524
19.9765356789,130.87111287,-12.5664348262,9.06087446564,0.58
19.9345675375,130.872988773,-12.0839480793,10.0339747989,0.656
20.0247923339,130.976641476,-13.7019488436,7.34083315791,0.614
60.7558078834,-55.2568710229,112.813971232,-4.1562014298,0.591
60.7695697646,-55.2638354735,112.678932429,-4.48841568494,0.574
60.7420460022,-55.2499065723,112.949010034,-3.82398717466,0.586
60.728284121,-55.2429421217,113.084048836,-3.49177291952,0.586
-315.772122525,-99.1469465632,69.2668825411,16.9978832274,0.585
-315.785884406,-99.1399821126,69.4019213432,17.3300974825,0.58
-315.799646288,-99.133017662,69.5369601453,17.6623117377,0.588
-315.813408169,-99.1260532114,69.6719989473,17.9945259928,0.569
